store,name,price,old_price,promotion
Pick n Pay,Albany Superior White Sliced Bread 700g,19.99,,
Pick n Pay,Koo Baked Beans In Tomato Sauce 400g,16.99,,2 For R32.00 (Smart Price)
Pick n Pay,PnP Large Eggs 30 Pack,89.99,,
Pick n Pay,Coca-Cola Plastic 2L,26.99,,2 For R45.00
Pick n Pay,Brookes Oros 2L,45.99,,R39.99 (Smart Price)
Pick n Pay,Albany Superior Sliced Brown Bread 700g,17.99,,
Pick n Pay,PnP Full Cream Fresh Milk 2L,29.99,34.99,
Pick n Pay,PnP UHT Full Cream Milk 1L,16.99,,
Pick n Pay,Fatti's & Moni's Macaroni 500g,19.99,,2 For R32.00
Pick n Pay,PnP Brown Sugar 2kg,44.99,63.99,
Pick n Pay,Maggi 2 Minute Noodles Durban Curry Multipack 5 x 68g,39.99,,2 For R55.00 (Smart Price)
Pick n Pay,Fatti's & Moni's Spaghetti 500g,19.99,,2 For R32.00
Pick n Pay,Spekko Rice Parboiled 2kg,42.99,,Buy 1 For R29.99
Pick n Pay,PnP Live Well Bulk Lean Beef Mince,119.99,,
Pick n Pay,Simba Potato Chips Mrs Balls Chutney 120g,20.99,,3 For R49.00 (Smart Price)
Pick n Pay,Oreo Original Biscuits 128g,19.99,,2 For R30.00 (Smart Price)
Pick n Pay,Nola Original Mayonnaise 750g,44.99,,R39.99 (Smart Price)
Pick n Pay,PnP Hotdog Rolls 6 Pack,16.99,17.69,
Pick n Pay,No Name Live Well Shredded Tuna in Salt Water 170g,21.99,,2 For R35.00 (Smart Price)
Pick n Pay,PnP UHT Full Cream Milk 6 x 1L,98.99,,
Pick n Pay,Simba Fritos Sweet Chilli Strip 25g,16.99,,2 For R24.00 (Smart Price)
Pick n Pay,aQuelle Still Natural Spring Water 5L,28.99,,R21.99 (Smart Price)
Pick n Pay,Cadbury Astros 40g,14.99,,3 For R36.00
Pick n Pay,PnP English Cucumber,16.99,,
Pick n Pay,Simba Potato Chips Salt & Vinegar 120g,20.99,,3 For R49.00 (Smart Price)
Pick n Pay,No Name Frozen Chicken Braaipack 5kg,199.99,244.99,
Pick n Pay,Sprite Low Kilojoule Lemon Lime 2L,19.99,,2 For R35.00
Pick n Pay,Lucky Star Pilchards in Tomato Sauce 155g,17.99,,2 For R28.00 (Smart Price)
Pick n Pay,Baby Soft 2Ply Fresh White Toilet Paper 24 Pack,199.99,,R169.00 (Smart Price)
Pick n Pay,Tastic Rice 2kg,33.99,42.99,
Pick n Pay,Simba Potato Chips Creamy Cheddar 120g,20.99,,3 For R49.00 (Smart Price)
